11_band1,11_band2,11_band3,11_band4,11_band5,21_band1,21_band2,21_band3,21_band4,21_band5,31_band1,31_band2,31_band3,31_band4,31_band5,12_band1,12_band2,12_band3,12_band4,12_band5,22_band1,22_band2,22_band3,22_band4,22_band5,32_band1,32_band2,32_band3,32_band4,32_band5,13_band1,13_band2,13_band3,13_band4,13_band5,23_band1,23_band2,23_band3,23_band4,23_band5,33_band1,33_band2,33_band3,33_band4,33_band5
0.050138433,0.080381565,0.1073099,0.16374917,0.2298024,0.05497469,0.08817416,0.112968385,0.17225829,0.24292505,0.06655503,0.09671728,0.1251149,0.18967912,0.26457474,0.05433656,0.08130274,0.10090992,0.15713802,0.22766109,0.05632118,0.0834339,0.1092115,0.16196647,0.22933874,0.05564101,0.08402079,0.108303115,0.16445461,0.2418426,0.055040993,0.083318345,0.102702826,0.15836371,0.23495229,0.0607522,0.086532675,0.11317868,0.16154249,0.23364632,0.060105715,0.08861585,0.108508736,0.17393327,0.2560991
0.052643184,0.081118904,0.10120831,0.15655257,0.23635162,0.06304828,0.08843655,0.1129449,0.16512862,0.23753259,0.0696014,0.09435156,0.11656209,0.18430737,0.2588026,0.052127857,0.08220204,0.10137332,0.15889803,0.23704384,0.061438907,0.09149621,0.1133088,0.16901568,0.24107142,0.07145319,0.095823504,0.12664329,0.18445407,0.24895027,0.056957442,0.08735704,0.10878369,0.16840303,0.25010255,0.061789826,0.091548115,0.116897374,0.17741542,0.25129887,0.060948145,0.08834288,0.118265934,0.16756961,0.23961623
0.056957442,0.08735704,0.10878369,0.16840303,0.25010255,0.061789826,0.091548115,0.116897374,0.17741542,0.25129887,0.060948145,0.08834288,0.118265934,0.16756961,0.23961623,0.060183674,0.09229872,0.11702068,0.18216798,0.25349697,0.0635072,0.093391314,0.12182042,0.17909199,0.2496199,0.060960893,0.08394729,0.11705756,0.15873045,0.23573145,0.0634582,0.092013545,0.11755847,0.16968901,0.24685119,0.062103726,0.09171238,0.118521415,0.16617417,0.24589652,0.05958378,0.09366033,0.11727202,0.17636576,0.25628898
0.1238637,0.13378334,0.391919,0.3793371,0.3874717,0.085062996,0.09485009,0.20686674,0.20685546,0.2603868,0.059593167,0.083352104,0.13766406,0.17296168,0.2379744,0.08548626,0.099206194,0.23760137,0.24428946,0.2914707,0.05929185,0.07888866,0.14006677,0.16620675,0.23677796,0.050873764,0.0764972,0.111425966,0.15403971,0.22479935,0.054390434,0.086308606,0.11650632,0.19205967,0.27859613,0.054150756,0.08691723,0.10615975,0.18972115,0.2740119,0.058603335,0.08892228,0.104817346,0.17995663,0.26614654
0.063261695,0.093895234,0.115047306,0.18149935,0.26759294,0.06221412,0.08747036,0.11512191,0.17157146,0.24729371,0.06226748,0.08800858,0.1162218,0.1692264,0.24132322,0.06277954,0.08891516,0.1252761,0.17676911,0.24969879,0.06088794,0.08969139,0.114962846,0.17333116,0.25110215,0.059433565,0.09060175,0.10859166,0.19249736,0.29522178,0.058493048,0.088851444,0.12052019,0.17620867,0.24385037,0.062475555,0.09382153,0.11448048,0.18908472,0.26630476,0.059506312,0.09638794,0.10581294,0.21454366,0.32171887
0.058493048,0.088851444,0.12052019,0.17620867,0.24385037,0.062475555,0.09382153,0.11448048,0.18908472,0.26630476,0.059506312,0.09638794,0.10581294,0.21454366,0.32171887,0.05497469,0.08817416,0.112968385,0.17225829,0.24292505,0.06655503,0.09671728,0.1251149,0.18967912,0.26457474,0.07309076,0.10294932,0.125529,0.21559,0.30959892,0.0535825,0.0846494,0.10634699,0.1709292,0.23719713,0.061652586,0.09190153,0.12162926,0.18005721,0.25089163,0.06670693,0.09600682,0.12573545,0.19669273,0.27928546
0.0535825,0.0846494,0.10634699,0.1709292,0.23719713,0.061652586,0.09190153,0.12162926,0.18005721,0.25089163,0.06670693,0.09600682,0.12573545,0.19669273,0.27928546,0.05632118,0.0834339,0.1092115,0.16196647,0.22933874,0.05564101,0.08402079,0.108303115,0.16445461,0.2418426,0.055775203,0.08802523,0.10437903,0.18052858,0.2695967,0.06304828,0.08843655,0.1129449,0.16512862,0.23753259,0.0696014,0.09435156,0.11656209,0.18430737,0.2588026,0.062082488,0.089113146,0.10238361,0.19031581,0.281152
0.06304828,0.08843655,0.1129449,0.16512862,0.23753259,0.0696014,0.09435156,0.11656209,0.18430737,0.2588026,0.062082488,0.089113146,0.10238361,0.19031581,0.281152,0.061438907,0.09149621,0.1133088,0.16901568,0.24107142,0.07145319,0.095823504,0.12664329,0.18445407,0.24895027,0.06086335,0.08423443,0.111024424,0.17114776,0.25344253,0.0635072,0.093391314,0.12182042,0.17909199,0.2496199,0.060960893,0.08394729,0.11705756,0.15873045,0.23573145,0.052366976,0.07444853,0.10135184,0.14346746,0.22146127
0.0635072,0.093391314,0.12182042,0.17909199,0.2496199,0.060960893,0.08394729,0.11705756,0.15873045,0.23573145,0.052366976,0.07444853,0.10135184,0.14346746,0.22146127,0.062103726,0.09171238,0.118521415,0.16617417,0.24589652,0.05958378,0.09366033,0.11727202,0.17636576,0.25628898,0.059922006,0.091455564,0.11651357,0.17712754,0.25711247,0.06496921,0.10100728,0.11377076,0.18355696,0.27053213,0.05971876,0.09939491,0.108147964,0.18998972,0.2867495,0.05484577,0.09191845,0.10311594,0.18658817,0.28553727
0.085062996,0.09485009,0.20686674,0.20685546,0.2603868,0.059593167,0.083352104,0.13766406,0.17296168,0.2379744,0.053859852,0.08114184,0.119588055,0.1647951,0.22612162,0.05929185,0.07888866,0.14006677,0.16620675,0.23677796,0.050873764,0.0764972,0.111425966,0.15403971,0.22479935,0.049238868,0.07503767,0.10412689,0.14356114,0.21161121,0.055016078,0.08287609,0.11015127,0.17080969,0.2513542,0.05509787,0.082744025,0.10635851,0.16115282,0.24691384,0.054336198,0.0807617,0.101774506,0.15444589,0.22943392
