11_band1,11_band2,11_band3,11_band4,11_band5,21_band1,21_band2,21_band3,21_band4,21_band5,31_band1,31_band2,31_band3,31_band4,31_band5,12_band1,12_band2,12_band3,12_band4,12_band5,22_band1,22_band2,22_band3,22_band4,22_band5,32_band1,32_band2,32_band3,32_band4,32_band5,13_band1,13_band2,13_band3,13_band4,13_band5,23_band1,23_band2,23_band3,23_band4,23_band5,33_band1,33_band2,33_band3,33_band4,33_band5
0.047633223,0.08966365,0.08302705,0.20100996,0.3200399,0.05203957,0.08538604,0.09778249,0.16719542,0.26059002,0.060015857,0.088575535,0.11510076,0.16001733,0.22808379,0.049802538,0.09828243,0.0844146,0.22027522,0.35327342,0.054135635,0.09336023,0.096067086,0.19427939,0.29752222,0.0548557,0.08411033,0.1039089,0.16520539,0.25648487,0.052702427,0.09391631,0.08551143,0.1930789,0.31767252,0.058341697,0.094639726,0.09698205,0.18953225,0.2925372,0.058328558,0.087570556,0.10273564,0.17211325,0.2656773
0.052150723,0.09924728,0.08571546,0.2282575,0.36311254,0.055132646,0.091826245,0.096064985,0.18437095,0.2867533,0.05666037,0.081496194,0.10518456,0.15734878,0.23728822,0.049802538,0.09828243,0.0844146,0.22027522,0.35327342,0.054135635,0.09336023,0.096067086,0.19427939,0.29752222,0.0548557,0.08411033,0.1039089,0.16520539,0.25648487,0.05306606,0.09019214,0.09261679,0.19049603,0.29023898,0.06278286,0.09300556,0.10337665,0.18903191,0.2757734,0.06185854,0.08691921,0.10735963,0.17471278,0.25717643
0.049802538,0.09828243,0.0844146,0.22027522,0.35327342,0.054135635,0.09336023,0.096067086,0.19427939,0.29752222,0.0548557,0.08411033,0.1039089,0.16520539,0.25648487,0.05306606,0.09019214,0.09261679,0.19049603,0.29023898,0.06278286,0.09300556,0.10337665,0.18903191,0.2757734,0.06185854,0.08691921,0.10735963,0.17471278,0.25717643,0.04989941,0.08508716,0.09452659,0.1774012,0.27097484,0.05475426,0.08753992,0.10445544,0.1746858,0.25696686,0.05939561,0.086595386,0.10994546,0.16916962,0.24602985
0.05306606,0.09019214,0.09261679,0.19049603,0.29023898,0.06278286,0.09300556,0.10337665,0.18903191,0.2757734,0.06185854,0.08691921,0.10735963,0.17471278,0.25717643,0.04989941,0.08508716,0.09452659,0.1774012,0.27097484,0.05475426,0.08753992,0.10445544,0.1746858,0.25696686,0.05939561,0.086595386,0.10994546,0.16916962,0.24602985,0.049183063,0.08074185,0.0928283,0.16454074,0.25197792,0.05247004,0.08413942,0.10217541,0.16470712,0.24925336,0.05537322,0.086997196,0.10914212,0.17115662,0.24700914
0.05306606,0.09019214,0.09261679,0.19049603,0.29023898,0.06278286,0.09300556,0.10337665,0.18903191,0.2757734,0.06185854,0.08691921,0.10735963,0.17471278,0.25717643,0.04989941,0.08508716,0.09452659,0.1774012,0.27097484,0.05475426,0.08753992,0.10445544,0.1746858,0.25696686,0.05939561,0.086595386,0.10994546,0.16916962,0.24602985,0.05327388,0.08525231,0.095727995,0.16970499,0.25922826,0.05443949,0.086535685,0.10117761,0.17239396,0.25685084,0.055696618,0.08964741,0.10639178,0.18331267,0.2581292
0.05203957,0.08538604,0.09778249,0.16719542,0.26059002,0.060015857,0.088575535,0.11510076,0.16001733,0.22808379,0.05596765,0.08183053,0.11747992,0.16133896,0.22480224,0.054135635,0.09336023,0.096067086,0.19427939,0.29752222,0.0548557,0.08411033,0.1039089,0.16520539,0.25648487,0.050484434,0.07819236,0.09704222,0.15558335,0.23364529,0.058341697,0.094639726,0.09698205,0.18953225,0.2925372,0.058328558,0.087570556,0.10273564,0.17211325,0.2656773,0.05009307,0.08194779,0.095985375,0.16469707,0.24739847
0.055132646,0.091826245,0.096064985,0.18437095,0.2867533,0.05666037,0.081496194,0.10518456,0.15734878,0.23728822,0.049943056,0.07543668,0.100351885,0.14869626,0.22095096,0.054135635,0.09336023,0.096067086,0.19427939,0.29752222,0.0548557,0.08411033,0.1039089,0.16520539,0.25648487,0.050484434,0.07819236,0.09704222,0.15558335,0.23364529,0.06278286,0.09300556,0.10337665,0.18903191,0.2757734,0.06185854,0.08691921,0.10735963,0.17471278,0.25717643,0.053602878,0.08040097,0.09718717,0.16419208,0.24727212
0.054135635,0.09336023,0.096067086,0.19427939,0.29752222,0.0548557,0.08411033,0.1039089,0.16520539,0.25648487,0.050484434,0.07819236,0.09704222,0.15558335,0.23364529,0.06278286,0.09300556,0.10337665,0.18903191,0.2757734,0.06185854,0.08691921,0.10735963,0.17471278,0.25717643,0.053602878,0.08040097,0.09718717,0.16419208,0.24727212,0.05475426,0.08753992,0.10445544,0.1746858,0.25696686,0.05939561,0.086595386,0.10994546,0.16916962,0.24602985,0.054950293,0.080472656,0.1032,0.16119657,0.2385669
0.05475426,0.08753992,0.10445544,0.1746858,0.25696686,0.05939561,0.086595386,0.10994546,0.16916962,0.24602985,0.054950293,0.080472656,0.1032,0.16119657,0.2385669,0.05443949,0.086535685,0.10117761,0.17239396,0.25685084,0.055696618,0.08964741,0.10639178,0.18331267,0.2581292,0.054643203,0.08911767,0.1086508,0.17596526,0.2517169,0.06831081,0.097451836,0.11389489,0.17657936,0.26256448,0.06675849,0.09856155,0.117292754,0.18490915,0.26768148,0.06125386,0.09645409,0.11728155,0.17919697,0.26183417
0.060015857,0.088575535,0.11510076,0.16001733,0.22808379,0.05596765,0.08183053,0.11747992,0.16133896,0.22480224,0.050138433,0.080381565,0.1073099,0.16374917,0.2298024,0.0548557,0.08411033,0.1039089,0.16520539,0.25648487,0.050484434,0.07819236,0.09704222,0.15558335,0.23364529,0.05433656,0.08130274,0.10090992,0.15713802,0.22766109,0.058328558,0.087570556,0.10273564,0.17211325,0.2656773,0.05009307,0.08194779,0.095985375,0.16469707,0.24739847,0.055040993,0.083318345,0.102702826,0.15836371,0.23495229
0.05666037,0.081496194,0.10518456,0.15734878,0.23728822,0.049943056,0.07543668,0.100351885,0.14869626,0.22095096,0.048615765,0.07909004,0.09901166,0.15921862,0.22613695,0.0548557,0.08411033,0.1039089,0.16520539,0.25648487,0.050484434,0.07819236,0.09704222,0.15558335,0.23364529,0.05433656,0.08130274,0.10090992,0.15713802,0.22766109,0.06185854,0.08691921,0.10735963,0.17471278,0.25717643,0.053602878,0.08040097,0.09718717,0.16419208,0.24727212,0.052643184,0.081118904,0.10120831,0.15655257,0.23635162
0.0548557,0.08411033,0.1039089,0.16520539,0.25648487,0.050484434,0.07819236,0.09704222,0.15558335,0.23364529,0.05433656,0.08130274,0.10090992,0.15713802,0.22766109,0.06185854,0.08691921,0.10735963,0.17471278,0.25717643,0.053602878,0.08040097,0.09718717,0.16419208,0.24727212,0.052643184,0.081118904,0.10120831,0.15655257,0.23635162,0.05939561,0.086595386,0.10994546,0.16916962,0.24602985,0.054950293,0.080472656,0.1032,0.16119657,0.2385669,0.052127857,0.08220204,0.10137332,0.15889803,0.23704384
0.12459128,0.108290896,0.34785962,0.3163888,0.36149922,0.06310037,0.081972696,0.15389672,0.20595112,0.2649691,0.054390434,0.086308606,0.11650632,0.19205967,0.27859613,0.06155155,0.086612314,0.12755531,0.18456523,0.24528979,0.06328149,0.09368409,0.114761464,0.1883212,0.27174306,0.063261695,0.093895234,0.115047306,0.18149935,0.26759294,0.067570604,0.09796776,0.13906166,0.18538548,0.24837273,0.07216717,0.10109181,0.136918,0.18752377,0.259733,0.06665347,0.09522354,0.12744913,0.18112205,0.2548676
0.06763845,0.08113766,0.20014621,0.22533394,0.28486732,0.050753903,0.085085884,0.11733062,0.1946789,0.27387577,0.05645051,0.08961823,0.10535381,0.19379404,0.27931908,0.06155155,0.086612314,0.12755531,0.18456523,0.24528979,0.06328149,0.09368409,0.114761464,0.1883212,0.27174306,0.063261695,0.093895234,0.115047306,0.18149935,0.26759294,0.07324956,0.09999306,0.13759437,0.18841669,0.24326889,0.07123694,0.09873664,0.14062054,0.18801048,0.25555238,0.06277954,0.08891516,0.1252761,0.17676911,0.24969879
0.050484434,0.07819236,0.09704222,0.15558335,0.23364529,0.05433656,0.08130274,0.10090992,0.15713802,0.22766109,0.05632118,0.0834339,0.1092115,0.16196647,0.22933874,0.053602878,0.08040097,0.09718717,0.16419208,0.24727212,0.052643184,0.081118904,0.10120831,0.15655257,0.23635162,0.06304828,0.08843655,0.1129449,0.16512862,0.23753259,0.054950293,0.080472656,0.1032,0.16119657,0.2385669,0.052127857,0.08220204,0.10137332,0.15889803,0.23704384,0.061438907,0.09149621,0.1133088,0.16901568,0.24107142
0.053602878,0.08040097,0.09718717,0.16419208,0.24727212,0.052643184,0.081118904,0.10120831,0.15655257,0.23635162,0.06304828,0.08843655,0.1129449,0.16512862,0.23753259,0.054950293,0.080472656,0.1032,0.16119657,0.2385669,0.052127857,0.08220204,0.10137332,0.15889803,0.23704384,0.061438907,0.09149621,0.1133088,0.16901568,0.24107142,0.05435337,0.084744334,0.108965985,0.1661755,0.24262619,0.056957442,0.08735704,0.10878369,0.16840303,0.25010255,0.061789826,0.091548115,0.116897374,0.17741542,0.25129887
0.053602878,0.08040097,0.09718717,0.16419208,0.24727212,0.052643184,0.081118904,0.10120831,0.15655257,0.23635162,0.06304828,0.08843655,0.1129449,0.16512862,0.23753259,0.054950293,0.080472656,0.1032,0.16119657,0.2385669,0.052127857,0.08220204,0.10137332,0.15889803,0.23704384,0.061438907,0.09149621,0.1133088,0.16901568,0.24107142,0.054643203,0.08911767,0.1086508,0.17596526,0.2517169,0.060183674,0.09229872,0.11702068,0.18216798,0.25349697,0.0635072,0.093391314,0.12182042,0.17909199,0.2496199
0.13086313,0.123746365,0.42957905,0.3984488,0.43395212,0.08548626,0.099206194,0.23760137,0.24428946,0.2914707,0.05929185,0.07888866,0.14006677,0.16620675,0.23677796,0.06310037,0.081972696,0.15389672,0.20595112,0.2649691,0.054390434,0.086308606,0.11650632,0.19205967,0.27859613,0.054150756,0.08691723,0.10615975,0.18972115,0.2740119,0.050753903,0.085085884,0.11733062,0.1946789,0.27387577,0.05645051,0.08961823,0.10535381,0.19379404,0.27931908,0.0566955,0.08604554,0.10287035,0.18413176,0.2634882
0.10533253,0.1016073,0.29307348,0.28247276,0.3261456,0.06259079,0.083947994,0.13903129,0.18155731,0.2580989,0.055016078,0.08287609,0.11015127,0.17080969,0.2513542,0.06310037,0.081972696,0.15389672,0.20595112,0.2649691,0.054390434,0.086308606,0.11650632,0.19205967,0.27859613,0.054150756,0.08691723,0.10615975,0.18972115,0.2740119,0.06328149,0.09368409,0.114761464,0.1883212,0.27174306,0.063261695,0.093895234,0.115047306,0.18149935,0.26759294,0.06221412,0.08747036,0.11512191,0.17157146,0.24729371
